field1,field2,field3,field4,field5,field6,_GC_TYPE,_X,_Y
코레일,1호선,덕정,경기도 양주시 덕정동 350-14,경기도 양주시 화합로 1356,,정,127.06180453653072,37.84407610115683
코레일,1호선,보산,경기도 동두천시 보산동 422,경기도 동두천시 평화로 2539,,정,127.05723687859508,37.91431820179305
코레일,1호선,소요산,경기도 동두천시 상봉암동 126-3,경기도 동두천시 평화로 2925,,정,127.06121334408991,37.94795316553425
코레일,1호선,동두천,경기도 동두천시 동두천동 245-210,경기도 동두천시 평화로 2687,,정,127.05487675037257,37.927825125272484
코레일,1호선,지행,경기도 동두천시 지행동 424-1,경기도 동두천시 평화로 2285,,정,127.05566421552264,37.89187625921792
코레일,1호선,동두천중앙,경기도 동두천시 생연동 726-3,경기도 동두천시 동두천로 228,,정,127.05623854587738,37.901805334598485
코레일,1호선,덕계,경기도 양주시 덕계동 209-5,경기도 양주시 고덕로 139번길 317,,정,127.05665384303681,37.818773298876366
코레일,1호선,양주,경기도 양주시 남방동 94-1,경기도 양주시 평화로 919,,정,127.04479118203895,37.77365513428145
코레일,1호선,녹양,경기도 의정부시 녹양동 96-1,경기도 의정부시 평화로 757,,정,127.04227366561884,37.75939823919672
코레일,1호선,가능,경기도 의정부시 가능동 197-1,경기도 의정부시 평화로 633,,정,127.04422022546152,37.74836731020588
코레일,1호선,방학,서울특별시 도봉구 방학동 728,서울특별시 도봉구 도봉로 150다길 3,,정,127.04441910129135,37.666340050217556
코레일,1호선,망월사,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 221,,정,127.04735917813042,37.71045888630549
코레일,1호선,의정부,경기도 의정부시 의정부동 168-54,경기도 의정부시 평화로 525,,정,127.04559111982117,37.7402507901927
코레일,1호선,회룡,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 363,,정,127.0472186154138,37.72442169248829
코레일,1호선,도봉,서울특별시 도봉구 도봉동 639,서울특별시 도봉구 도봉로 170길 2,,정,127.04577218841813,37.680376317841485
코레일,1호선,녹천,서울특별시 도봉구 창동 57-11,서울특별시 도붕구 덕릉로 376,,대,126.93960825427187,37.56448109259768
코레일,1호선,도봉산,서울특별시 도봉구 도봉동 18-1,서울특별시 도봉구 도봉로 964-33,,유,127.04653541879122,37.689132082042946
코레일,1호선,창동,서울특별시 도봉구 창동 135-1,서울특별시 도봉구 마들로11길 77,,정,127.04771536518672,37.6532175805741
코레일,1호선,광운대,서울특별시 노원구 월계동 85,서울특별시 노원구 석계로 98-2,,정,127.06157373055422,37.623331934473576
코레일,1호선,월계,서울특별시 노원구 월계동 263-1,서울특별시 노원구 월계로53길 40,,정,127.05881275034264,37.631965496693304
코레일,1호선,용산,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로23길 55,,정,126.96474135084641,37.52977211893694
코레일,1호선,외대앞,서울특별시 동대문구 이문동 360-5,서울특별시 동대문구 휘경로 27,,정,127.06305954001482,37.595413834126504
코레일,1호선,석계,서울특별시 노원구 월계동 36-4,서울특별시 노원구 화랑로 341,,정,127.06564738795821,37.615306130427506
코레일,1호선,신이문,서울특별시 동대문구 이문동 7,서울특별시 동대문구 한천로 472,,정,127.06801861249531,37.607918413985956
코레일,1호선,남영,서울특별시 용산구 갈월동 96-1,서울특별시 용산구 한강대로77길 25,,정,126.97133296765027,37.54056484651245
코레일,1호선,회기,서울특별시 동대문구 휘경동 317-101,서울특별시 동대문구 회기로 196,,정,127.05803519726693,37.58974369011115
코레일,1호선,노량진,서울특별시 동작구 노량진동 67-2,서울특별시 동작구 노량진로 151,,정,126.94281753500384,37.5144649057172
코레일,1호선,대방,서울특별시 영등포구 신길동 1368-3,서울특별시 영등포구 여의대방로 300,,정,126.92630332883252,37.5133249555902
코레일,1호선,온수,서울특셜시 구로구 온수동 51-7,서울특별시 구로구 부일로 872,,정,126.82403902080677,37.49247385483871
코레일,1호선,영등포,서울특별시 영등포구 영등포동 618-496,서울특별시 영등포구 경인로 846,,정,126.90766597159927,37.51566841383748
코레일,1호선,구일,서울특별시 구로구 구로동 636-45,서울특별시 구로구 구일로 133,,정,126.86992046881758,37.49639147521038
코레일,1호선,신도림,서울특별시 구로구 신도림동 460-26,서울특별시 구로구 새마로 지하117-21,,대,126.85404691836925,37.495582066825804
코레일,1호선,오류동,서울특별시 구로구 오류동 66,서울특별시 구로구 경인로 20길 13,,정,126.84343857335206,37.494502243226016
코레일,1호선,구로,서울특별시 구로구 구로동 585-3,서울특별시 구로구 구로중앙로 174,,정,126.88149166224045,37.50243490569486
코레일,1호선,개봉,서울특별시 구로구 개보동 415,서울특별시 구로구 경인로40길 47,,정,126.85910233082251,37.49452156044724
코레일,1호선,신길,서울특별시 영등포구 신길동 41-1,서울특별시 영등포구 영등포로 327,,정,126.91722561187686,37.51703284422707
코레일,1호선,역곡,경기도 부천시 원미곡 역곡동 382,경기도 부천시 원미구 역곡로 1,,대,126.79248285704753,37.49421206850425
코레일,1호선,간석,인천광역시 남동구 간석동 757,인천광역시 남동구 석정로 522-14,,정,126.69395184426479,37.46491041783503
코레일,1호선,소사,경기도 부천시 소사구 소사본동 395,경기도 부천시 소사구 소사로 272,,대,126.79522401470805,37.48630642006428
코레일,1호선,부평,인천광역시 부평구 부평동 738-21,인천광역시 부평구 광장로 16,,정,126.72480001321667,37.4899651955808
코레일,1호선,중동,경기도 부천시 소사구 송내동 632,경기도 부천시 소사구 중동로 73,,대,126.79522401470805,37.48630642006428
코레일,1호선,송내,경기도 부천시 소사구 송내동 632-4,경기도 부천시 소사구 송내대로 43,,대,126.79522401470805,37.48630642006428
코레일,1호선,동암,인천광역시 부평구 십정동 541-1,인천광역시 부평구 동암광장로 10,,정,126.702935261282,37.4710058858141
코레일,1호선,부개,인천광역시 부평구 부개동 468,인천광역시 부평구 수변로 22,,정,126.7402450213259,37.48869188082134
코레일,1호선,백운,인천광역시 부평구 십정동 541-1,인천광역시 부평구 마장로 55번길 14,,정,126.70716575406404,37.483265634315316
코레일,1호선,주안,인천광역시 남구 주안동 125,인천광역시 남구 주안로 95-19,,정,126.68060389006929,37.464982656456094
코레일,1호선,부천,경기도 부천시 소사구 심곡본동 316-2,경기도 부천시 소사구 부천로 1,,대,126.79522401470805,37.48630642006428
코레일,1호선,광명,,경기도 광명시 광명역로 21 광명역,,정,126.884877322405,37.41636376483314
코레일,1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,서울특별시 금천구 벚꽃로 309,,정,126.8825592777496,37.481595773825134
코레일,1호선,도화,인천광역시 남구 도화동 668,인천광역시 남구 숙골로 24번길 9,,정,126.66837536919591,37.466109537246005
코레일,1호선,도원,인천광역시 동구 창영동 179-1,인천광역시 동구 참외전로 245,,정,126.64240459995587,37.46879288144471
코레일,1호선,금천구청,서울특별시 금천구 시흥동 113-55,서울특별시 금천구 시흥대로 63길 91,,정,126.89451824008516,37.455617425833225
코레일,1호선,동인천,인천광역시 중구 인현동 1-613,인천광역시 중구 참외전로 121,,정,126.63180817426812,37.475867659746854
코레일,1호선,독산,서울특별시 금천구 가산동 717,서울특별시 금천구 벚꽃로 115,,정,126.88951441745574,37.465987960004576
코레일,1호선,인천,인천광역시 중구 북성동1가 3-1,인천광역시 중구 제물량로 269,,정,126.61709091947252,37.47659594447893
코레일,1호선,제물포,인천광역시 남구 숭의동 450-39,인천광역시 남구 경인로 129,,정,126.65686943934574,37.46680225426985
코레일,1호선,석수,경기도 안양시 만악구 석수동 737,경기도 안양시 만안구 경수대로 1431,,정,126.90236734837441,37.43436450165992
코레일,1호선,당정,경기도 군포시 당정동 938,경기도 구노시 당정역로 91,,대,127.496042691363,37.568470898137726
코레일,1호선,명학,경기도 안양시 만안구 안양동 1163-1,경기도 안양시 만안구 만안로 20,,정,126.93526714743248,37.38521958726338
코레일,1호선,관악,경기도 안양시 만악구 석수동 101-16,경기도 안양시 만안구 경수대로 1273번길 46,,정,126.90912195494658,37.418803039110536
코레일,1호선,화서,경기도 수원시 팔달구 화서동 464,경기도 수원시 팔달구 덕영대로 692,,정,126.98919941744163,37.28489401550809
코레일,1호선,금정,경기도 군포시 금정동 613,경기도 군포시 군포로 750,,정,126.94338745767249,37.37228821811667
코레일,1호선,의왕,경기도 의왕시 삼동 191,경기도 의왕시 철도박물관로 66,,정,126.94813729173141,37.32113919371939
코레일,1호선,군포,경기도 군포시 당동 134-1,경기도 군포시 군포역1길 27,,정,126.9484856648506,37.354076354446846
코레일,1호선,성균관대,경기도 수원시 장안구 율전동 495-2,경기도 수원시 장안구 서부로 2149,,정,126.9717057138645,37.300175983049805
코레일,1호선,안양,경기도 안양시 만안구 안양동 88-1,경기도 안양시 만안구 만안로 232,,정,126.92369247657433,37.400807038275524
코레일,1호선,수원,경기도 수원시 팔달구 매산로1가 18,경기도 수원시 팔달구 덕영대로 924,,정,126.99976612066135,37.26731242937671
코레일,1호선,오산,경기도 오산시 오산동 603-116,경기도 오산시 역광장로 59,,정,127.06684464289832,37.14589446361657
코레일,1호선,서정리,경기도 평택시 서정동 427-53,경기도 평택시 탄현로 51,,정,127.05300678303028,37.057004540575015
코레일,1호선,서동탄,경기도 오산시 외삼미동 242,경기도 오산시 외삼미로 15번길 75-60,,정,127.05213451741656,37.19592750948598
코레일,1호선,세류,경기도 수원시 권선구 장지동 25-4,경기도 수원시 권선구 정조로 393-1,,정,127.0139775445237,37.244653761529925
코레일,1호선,진위,경기도 평택시 진위면 하북리 139-3,경기도 평택시 진위면 경기대로 1855,,정,127.06236738744495,37.10993764835345
코레일,1호선,병점,경기도 화성시 진암동 824-1,경기도 화성시 떡전골로 97,,정,127.0332445996872,37.206803046807835
코레일,1호선,지제,경기도 평택시 지제동 559-4,경기도 평택시 경기대로 777,,정,127.07048501356437,37.01878537034457
코레일,1호선,세마,경기도 오산시 세교동 244-5,경기도 오산시 세마역로 88,,정,127.04306140763472,37.18699057617288
코레일,1호선,오산대,경기도 오산시 수청동 435-1,경기도 오산시 청학로 236,,정,127.06306428369867,37.169300168311395
코레일,1호선,송탄,경기도 평택시 신장동 257-5,경기도 평택시 송탄공원로 43,,정,127.05430013063183,37.075284003345345
코레일,1호선,평택,경기도 평택시 평택동 185-579,경기도 평택시 평택로 51,,정,127.08527540362564,36.99087995166359
코레일,1호선,봉명,충청남도 천안시 동남구 봉명동 20-2,충청남도 천안시 동남구 차돌로 51,,정,127.13583576151305,36.80125738062273
코레일,1호선,배방,충청남도 아산시 배방읍 구령리 148-2,충청남도 아산시 배방읍 온천대로 1967,,정,127.05290443280919,36.77756343722917
코레일,1호선,직산,충청남도 천안시 서북구 직산읍 모시리 58-11,충청남도 천안시 서북구 직산읍 천안대로 1471-33,,정,127.14390207078186,36.87074854215342
코레일,1호선,쌍용(나사렛대),충청남도 천안시 서북구 쌍용동 426-3,충청남도 천안시 서북구 쌍용19로 20,,정,127.12135026520443,36.79372410020892
코레일,1호선,성환,충청남도 천안시 서북구 성환읍 성환리 449-128,충청남도 천안시 서북구 성환읍 성환1로 237-5,,정,127.12659057737982,36.91589746241004
코레일,1호선,온양온천,충청남도 아산시 온천동 56-9,충청남도 아산시 온천대로 1496,,정,127.00345130157403,36.780468344771776
코레일,1호선,두정,충청남도 천안시 서북구 두정동 84-1,충청남도 천안시 서북구 두정로 289,,정,127.14902073896323,36.8329348706996
서울교통공사,1호선,동대문,서울특별시 종로구 창신동 492-1,서울특별시 종로구 종로 지하 302,,정,127.011167308011,37.57177804273931
코레일,1호선,천안,충청남도 천안시 동남구 대흥동 57-1,충청남도 천안시 동남구 대흥로 239,,정,127.14681871149998,36.810624297689195
서울교통공사,1호선,종각,서울특별시 종로구 종로1가 54,서울특별시 종로구 종로 지하 55,,정,126.98324012162131,37.570214239552605
서울교통공사,1호선,제기동,서울특별시 동대문구 제기동 65,서울특별시 동대문구 왕산로 지하 93,,정,127.03469038368101,37.57819695803378
코레일,1호선,아산,충청남도 아산시 배방읍 장재리 268,충청남도 아산시 배방읍 희망로 90,,정,127.104115037471,36.792047594770274
코레일,1호선,신창(순천향대),충청남도 아산시 신창면 행목리 346-49,충청남도 아산시 신창면 행목로 50,,정,126.94992138007761,36.769484687774046
서울교통공사,1호선,종로5가,서울특별시 종로구 종로5가 82-1,서울특별시 종로구 종로 지하 216,,정,127.00191668249276,37.57090743183806
서울교통공사,1호선,청량리(서울시립대입구),서울특별시 동대문구 왕산로 328-1,서울특별시 동대문구 왕산로 지하 205,,정,127.04508586729183,37.58023305976715
서울교통공사,1호선,시청,서울특별시 중구 정동 5-5,서울특별시 세종대로 지하 101,,정,126.9769830462662,37.565438390672654
서울교통공사,1호선,신설동,서울특별시 동대문구 신설동 76-5,서울특별시 동대문구 왕산로 지하 1,,정,127.02470216462004,37.57532062531897
서울교통공사,1호선,동묘앞,서울특별시 종로구 숭인동 117,서울특별시 종로구 종로 359,,정,127.0167511780147,37.57337208078439
서울교통공사,2호선,왕십리,서울특별시 성동구 행당동 192,서울특별시 성동구 왕십리로 지하 300,,정,127.03665560322223,37.56122238354875
서울교통공사,1호선,종로3가,서울특별시 종로구 종로3가 10-5,서울특별시 종로구 종로 지하 129,,정,126.99202948846742,37.57042634633311
서울교통공사,1호선,서울역,서울특별시 중구 남대문로5가 73-6,서울특별시 세종대로 지하 2,,정,126.97255446036756,37.55715964217857
서울교통공사,2호선,동대문역사문화공원,서울특별시 중구 을지로7가 112-3,서울특별시 중구 을지로 지하 279,,정,127.00913148367091,37.565589505433415
